requirement_id,source,owning_workstream,implementation_task,verification_task,qualifying_test,required_backend,expected_evidence,target_gate,current_baseline_status
FR-071,ARC-009`; Fonte C §1.4; `DEC-090,WS-06,OCOR-DEV-0040,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-071.json + raw-log hash,G6,ABSENT
FR-072,"Fonte D §§D.2,D.10; `DEC-090",WS-06,OCOR-DEV-0041,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-072.json + raw-log hash,G6,ABSENT
FR-073,Fonte B §92; `DEC-091,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-073.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-074,Prompt IRB-8; Fonte B §30.1; `DEC-091,WS-06,OCOR-DEV-0040,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-074.json + raw-log hash,G6,ABSENT
FR-075,"BR-003`; Fonte B §§31,48,80–81; `DEC-092",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-075.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-076,"ARC-011`; Fonte B §§31,102–103; `DEC-092",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-076.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-077,"DEC-010`,`DEC-011`; CP §6.1.3; `ARC-014`; `DEC-093",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-077.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-078,ARC-014`; Fonte D §D.3; `DEC-093,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-078.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-079,DEC-018`; Fonte B §81; `DEC-094,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-079.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-080,Fonte B §§30–31; Fonte D §D.3; `DEC-095,WS-07,OCOR-DEV-0044,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-080.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-081,ARC-014`; Fonte B §30.1; `DEC-095,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-081.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-082,"DEC-012`,`DEC-020`; CP §6.1; `DEC-096",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-082.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-083,ARC-011`; Fonte D §D.6; `DEC-096,WS-07,OCOR-DEV-0044,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-083.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-084,Fonte A §8.7; Fonte B §26; `DEC-097,WS-06,OCOR-DEV-0040,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-084.json + raw-log hash,G6,ABSENT
FR-085,DEC-011`; `ARC-014`; `DEC-097,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-085.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-086,"DEC-009`; `ARC-011`,`ARC-012`; `DEC-099",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-086.json + raw-log hash,G6,ABSENT
FR-087,Prompt IRB-9; Fonte D §D.7; `DEC-099,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-087.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-088,"Fonte B §§61–63,69; `ARC-001`; `DEC-100",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-088.json + raw-log hash,G6,ABSENT
FR-089,"ARC-011`,`ARC-012`; Fonte B §§12,62; `DEC-100",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-089.json + raw-log hash,G6,ABSENT
FR-090,Fonte B §63.1; `DEC-101,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-090.json + raw-log hash,G6,ABSENT
FR-091,Fonte D §D.7; `DEC-101,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-091.json + raw-log hash,G6,ABSENT
FR-092,ARC-013`; Fonte C §3.2; `DEC-102,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-092.json + raw-log hash,G6,ABSENT
FR-093,CP §6.1 definizione SimulationResult; `DEC-102,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-093.json + raw-log hash,G6,ABSENT
FR-094,ARC-012`; Fonte C §3.1; `DEC-103,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-094.json + raw-log hash,G6,ABSENT
FR-095,Fonte B §66; Fonte C §3.1; `DEC-103`; `DEC-205,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-095.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-096,ARC-011`; Fonte B §64; `DEC-103,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-096.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-097,"Fonte B §§53,63,67–69; `DEC-104",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-097.json + raw-log hash,G6,ABSENT
FR-098,Fonte B §69; Fonte D §D.7; `DEC-104,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-098.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-099,"Fonte B §§68,73–75,80–81; `DEC-105",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-099.json + raw-log hash,G6,ABSENT
FR-100,ARC-011`; `DEC-105,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-100.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-101,Fonte B §§73–74; Fonte C §3.4; `DEC-106,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-101.json + raw-log hash,G6,ABSENT
FR-102,DEC-010`; Fonte D §D.3; `DEC-106,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-102.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-103,Fonte C §3.5; Fonte D §D.8; `DEC-107,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/FR-103.json + raw-log hash,G6,DOCUMENTATION_ONLY
FR-104,CP §6.1.3; Fonte B §81; `DEC-108,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-104.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-105,ARC-014`; CP §6.1.3; `DEC-108,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-105.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-106,DEC-007`; `ARC-015`; Fonte B §70; `DEC-110,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-106.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-107,Fonte D §D.5; `DEC-110,WS-09,OCOR-DEV-0046,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-107.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-108,Fonte B §71; Fonte D §D.4; `DEC-111,WS-07,OCOR-DEV-0044,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-108.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-109,DEC-020`; Fonte B §72; `DEC-111,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-109.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-110,DEC-018`; Fonte B §83; `DEC-112,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/FR-110.json + raw-log hash,G6,DOCUMENTATION_ONLY
FR-111,DEC-018`; `ARC-015`; `DEC-112,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-111.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-112,Fonte B §41; `ARC-015`; `DEC-113,WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-112.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-113,"ARC-015`; Fonte B §§73,75,78–81; `DEC-113",WS-10,OCOR-DEV-0050,OCOR-DEV-0061,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-113.json + raw-log hash,G6,ABSENT
FR-114,"Fonte B §§75–77,82; `DEC-114",WS-09,OCOR-DEV-0046,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-114.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-115,DEC-007`; Fonte D §D.3; `DEC-114,WS-10,OCOR-DEV-0051,OCOR-DEV-0061,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-115.json + raw-log hash,G6,ABSENT
FR-116,Fonte B §78; `DEC-115,WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-116.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-117,"ARC-010`,`ARC-015`; `DEC-115",WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/FR-117.json + raw-log hash,G6,DOCUMENTATION_ONLY
FR-118,Fonte B §79; `DEC-116`; `CC-FULL-GOVERNED-AGENT-MEMORY`; `DEC-208,WS-10,OCOR-DEV-0056,OCOR-DEV-0062,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-118.json + raw-log hash,G6,ABSENT
FR-119,"ARC-016`; Fonte B §§33,79; `DEC-116`; `CC-FULL-GOVERNED-AGENT-MEMORY`; `DEC-208",WS-10,OCOR-DEV-0053,OCOR-DEV-0061,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-119.json + raw-log hash,G6,ABSENT
FR-120,ARC-015`; Fonte B §83; `DEC-117,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-120.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-121,"Fonte B §§75–76,83; `DEC-117",WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-121.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-122,DEC-018`; Fonte B §81; `DEC-118,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-122.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-123,DEC-026`; `ARC-014`; `DEC-118,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-123.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-124,"ARC-015`,`ARC-017`; Fonte B §§80–83; `DEC-119",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-124.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-125,EV-001`; `ARC-017`; `DEC-119,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-125.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-126,ARC-015`; Fonte B §83; `DEC-119,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-126.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-127,ARC-014`–`ARC-016`; `DEC-120,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-127.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-128,ARC-015`; Prompt IRB-10; `DEC-120,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/FR-128.json + raw-log hash,G6,DOCUMENTATION_ONLY
FR-129,Q11.2 → DEC-123,WS-09,OCOR-DEV-0046,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-129.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-130,Q11.3 → DEC-124,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-130.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-131,Q11.5 → DEC-126,WS-10,OCOR-DEV-0053,OCOR-DEV-0061,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-131.json + raw-log hash,G6,ABSENT
FR-132,Q11.5 → DEC-126,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-132.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-133,Q11.6 → DEC-127,WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-133.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-134,Q11.7 → DEC-128,WS-07,OCOR-DEV-0044,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-134.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-135,Q11.9 → DEC-130,WS-10,OCOR-DEV-0055,OCOR-DEV-0061,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-135.json + raw-log hash,G6,ABSENT
FR-136,Q11.10 → DEC-131,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-136.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-137,Q11.10 → DEC-131,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-137.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-138,Q11.11 → DEC-132,WS-05,OCOR-DEV-0039,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-138.json + raw-log hash,G6,ABSENT
FR-139,Q11.11 → DEC-132,WS-07,OCOR-DEV-0044,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-139.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-140,Q11.12 → DEC-133,WS-10,OCOR-DEV-0050,OCOR-DEV-0062,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-140.json + raw-log hash,G6,ABSENT
FR-141,Q11.13 → DEC-134,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-141.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-142,Q11.14 → DEC-135,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-142.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-143,Q12.1 → DEC-137,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/FR-143.json + raw-log hash,G6,DOCUMENTATION_ONLY
FR-144,Q12.2 → DEC-138,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-144.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-145,Q12.3 → DEC-139,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-145.json + raw-log hash,G6,ABSENT
FR-146,Q12.4 → DEC-140,WS-07,OCOR-DEV-0044,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-146.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-147,Q12.4 → DEC-140,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-147.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-148,Q12.5 → DEC-141,WS-05,OCOR-DEV-0039,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-148.json + raw-log hash,G6,ABSENT
FR-149,Q12.6 → DEC-142,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-149.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-150,Q12.7 → DEC-143,WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-150.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-151,Q12.8 → DEC-144,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-151.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-152,Q12.9 → DEC-145,WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-152.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-153,Q12.10 → DEC-146,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/FR-153.json + raw-log hash,G6,DOCUMENTATION_ONLY
FR-154,Q12.12 → DEC-148,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-154.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-155,Q13.7 → DEC-156,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-155.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-156,Q13.8 → DEC-157,WS-12,OCOR-DEV-0049,OCOR-DEV-0066,deployment/recovery/air-gap qualification,complete offline PoC stack,reports/evidence/G6/FR-156.json + raw-log hash,G6,ABSENT
FR-157,Q13.10 → DEC-159,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-157.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-158,Q13.10 → DEC-159,WS-07,OCOR-DEV-0044,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-158.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-159,Q13.11 → DEC-160,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-159.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-160,Q13.14 → DEC-163,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/FR-160.json + raw-log hash,G6,DOCUMENTATION_ONLY
FR-161,"Q14.2` / `DEC-166`; Prompt Master `IRB-9`, `IRB-14`; Context Pack Fonte C §3.5",WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-161.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-162,Q14.3` / `DEC-167`; `ARC-014`; Context Pack §6.1.3 e Fonte D §D.6,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-162.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-163,Q14.5` / `DEC-169`; Context Pack Fonte B §30.1; Fonte C §4.1; `DEC-011,WS-04,OCOR-DEV-0036,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-163.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-164,"Q15.1` / `DEC-172`; `DEC-003`, `DEC-015`; Context Pack Fonte C §§2.3–2.5",WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-164.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-165,Q15.1` / `DEC-172`; `ARC-005`; Context Pack Fonte B §88; Fonte C §2.6,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-165.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-166,"Q15.2` / `DEC-173`; `DEC-017`, `DEC-018`, `DEC-023`; Context Pack Fonte B §§44, 95, 97",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-166.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-167,"Q15.2` / `DEC-173`; Prompt Master `IRB-15`; Context Pack Fonte B §§89, 95, 97",WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-167.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-168,"Q16.1` / `DEC-178`; `ARC-008`; Context Pack Fonte C §§1.2, 4.1; Prompt Master `IRB-16",WS-05,OCOR-DEV-0038,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-168.json + raw-log hash,G6,ABSENT
FR-169,"Q16.1` / `DEC-178`; `DEC-007`, `DEC-008`, `DEC-012`; Context Pack Fonte B §93; Fonte D §§D.4–D.5",WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-169.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-170,"Q16.3` / `DEC-180`; `DEC-015`, `DEC-020`; `ARC-004`; Context Pack Fonte B §§85, 87",WS-06,OCOR-DEV-0040,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-170.json + raw-log hash,G6,ABSENT
FR-171,"Q16.7` / `DEC-184`; `DEC-001`, `DEC-014`; Prompt Master `IRB-4`, `IRB-16`; Context Pack Fonte A §1.4/§2",WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-171.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-172,"Q17.2` / `DEC-187`; `DEC-023`, `DEC-024`; Context Pack Fonte D §§D.3–D.6",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-172.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
